permalink,name,totalFundingUSD,website,blog,description,shortDescription,foundedDate,minEmployees,maxEmployees,stockSymbol,changeInFunding
clearwire,Clearwire,5720000000,http://www.clearwire.com,,"Clearwire, founded in October 2003 by telecom pioneer Craig O. McCaw, is a provider of simple, fast, portable and reliable wireless high-speed Internet service. Clearwire customers connect to the Internet using licensed spectrum, thus eliminating the confines of traditional cable or phone lines. Headquartered in Kirkland, Wash., the company launched its first market in August 2004 and now offers service in 50 markets across the U.S. as well as in Europe. 

Clearwire solutions and services are now available through Sprint, which recently acquired the company.",Clearwire provides a wireless high-speed internet service that allows customers to connect to the internet using licensed spectrum.,2003-10-01,0,0,CLWR,0
facebook,Facebook,2385000000,http://www.facebook.com,http://blog.facebook.com,"Facebook is an online social networking service that allows its users to connect with friends and family as well as make new connections. It provides its users with the ability to create a profile, update information, add images, send friend requests, and accept requests from other users. Its features include status update, photo tagging and sharing, and more.

Facebook’s profile structure includes a timeline, information related to the user, images of the user, images added by friends of the user, notes, pages, groups, and more. It enables its users to create pages related to entertainment, sports, business, finance, preferences, hobbies, culture, religion, causes, organizations, and a number of other categories. It also enables its users to join or create groups related to a vast number of categories.

With millions of more users, Friendster attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from Accel Partners at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo sharing feature the next month. The next spring, Facebook received $25 million in funding from Greylock Partners and Meritech Capital as well as previous investors Accel Partners and Peter Thiel. The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally in September 2006, Facebook was opened to anyone with an email address.

Facebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in NASDAQ with shares trading at $42.05.

Facebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013 over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly actives. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo sharing site with 250 million photos uploaded per day.

The company has strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere.

Facebook is currently the owner of many applications and services such as Pagemodo Pagebuilder, RSS Graffiti, Huddle, and more. It is the world’s largest social network with over 1.32 billion monthly active users.

Facebook was founded by Mark Zuckerberg, Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes on February 4, 2004 in Menlo Park, California.",Facebook is an online social networking service that enables its users to connect with friends and family as well as make new connections.,2004-02-04,5001,10000,FB,-1500000000
solyndra,Solyndra,1567504319,http://www.solyndra.com,http://www.solyndra.com/News/,"Solyndra is a manufacturer of cylindrical panels of CIGS thin-film solar cells based in Fremont, California.

Solyndra designs and manufactures photovoltaic systems, comprised of panels and mounting hardware, for the commercial rooftop market. Solyndra employs high volume manufacturing based on proven technologies and processes to meet the needs of the global solar market. Using proprietary cylindrical modules and thin-film technology, Solyndra systems are designed to provide the lowest installed cost per system and the highest solar electrical energy output for typical low slope commercial rooftops. Founded in 2005 and headquartered in Fremont, California, Solyndra operates a state-of-the-art 300,000 square foot fully-automated manufacturing complex.",Solyndra manufactures cylindrical panels of CIGS thin-film solar cells.,2005-01-01,0,0,,-197304319
fisker,Fisker Automotive,1386000000,http://www.fiskerautomotive.com,,Fisker is a green American sports car company who aims to produce environmentally friendly without compromising performance.,Fisker Automative is an American car company developing-environment friendly vehicles.,2008-01-01,0,0,,202000000
pinterest,Pinterest,1305500000,https://pinterest.com,http://blog.pinterest.com/,"Pinterest is a visual discovery and planning tool. People (&quot;Pinners&quot;) use the site and apps to get ideas for their future, such as recipes, places to travel, and products to buy, and save the things they love to their own boards. Pinners also follow the boards of others who they find interesting. 

The site experienced rapid growth in the second half of 2011 and is now a widely used social media application.",Pinterest is a visual bookmarking tool for saving and discovering creative ideas.,2009-01-01,0,0,,73000000
wave-broadband,Wave,1180000000,http://www.wavebroadband.com,,"About Wave 
Wave is a gigabit fiber and broadband services company, providing true high-speed internet service and a variety of related products and options for business and residential customers in key areas of Washington, Oregon and California.  The company is headquartered in Kirkland, Washington. For more information, visit www.wavebroadband.com.",Wave is a gigabit fiber and broadband services company.,2002-01-01,1001,5000,,1050000000
twitter,Twitter,1160166511,http://www.twitter.com,http://twitter.com/blog,"Twitter is a global social networking platform that allows its users to send and read 140-character messages known as “tweets”. It enables registered users to read and post their tweets through the web, short message service (SMS), and mobile applications.

As a global real-time communications platform, Twitter has more than 400 million monthly visitors and 255 million monthly active users around the world. Twitter’s active group of registered members includes World leaders, major athletes, star performers, news organizations, and entertainment outlets. It is currently available in more 35 languages.

Twitter was launched in 2006 by Jack Dorsey, Evan Williams, Biz Stone, and Noah Glass. It is headquartered in San Francisco, C.A. with local offices in Atlanta, Austin, Boston, Boulder, Chicago, Detroit, Los Angeles, New York, Seattle, Sunnyvale, and Washington. Twitter&#39;s international offices are located in Amsterdam, Berlin, Dublin, London, Madrid, Paris, Rio de Janeiro, São Paulo, Singapore, Sydney, Seoul, Tokyo, Toronto, and Vancouver.",Twitter is a global social networking platform that allows its users to send and read 140-character messages known as “tweets”.,2006-03-21,0,0,TWTR,-800000000
surveymonkey,SurveyMonkey,1150000000,http://www.surveymonkey.com,https://www.surveymonkey.com/blog/en/,"SurveyMonkey is the world&#39;s leading online survey platform, with more than 3 million survey responses every day. SurveyMonkey has revolutionized the way people give and take feedback, making it accessible, easy and affordable for everyone. The company was founded in 1999 with a focus on helping people make better decisions, and has built technology based on over 10 years of experience in survey methodology and web development. Customers include 99% of the Fortune 500, academic institutions, organizations and neighborhood soccer leagues everywhere.

The company has over 500 employees throughout the United States and Europe, with headquarters in Palo Alto, CA. For more information, visit www.surveymonkey.com.",SurveyMonkey offers a cloud-based online survey and questionnaire tool that helps users gather survey-related information.,1999-01-01,501,1000,,0
groupon,Groupon,1137000000,http://www.groupon.com,http://www.groupon.com/blog/,"Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies. It is known as an online e-commerce platform that provides its users with the ability to purchase anything.

By leveraging the company’s global relationships and scale, Groupon offers consumers a vast marketplace of unbeatable deals all over the world. Users have the ability to discover the finest a city has to offer on the web or on mobile with Groupon Local, enjoy vacations with Groupon Getaways, and find a curated selection of electronics, fashion, home furnishings, and more with Groupon Goods.

Groupon delivers merchants with a collection of products and services, including customizable deal campaigns, credit card payment processing capabilities, and point-of-sale solutions.

Groupon was launched in 2011 by Emil Jersling, Eric Lefkofsky, Brad Keywell, and Andrew Mason. It is headquartered in Chicago Heights, I.L.",Groupon is a deal-of-the-day website that offers its users with discounted gift certificates usable at local or national companies.,2008-11-11,1001,5000,GRPN,-966200000
bloom-energy,Bloom Energy,1110000000,http://www.bloomenergy.com,,"Bloom Energy is changing the way the world generates and consumes energy.

Our unique on-site power generation systems utilize an innovative new fuel cell technology with roots in NASA&#39;s Mars program.

Derived from a common sand-like powder, and leveraging breakthrough advances in materials science, our technology is able to produce clean, reliable, affordable power,... practically anywhere,... from a wide range of renewable or traditional fuels.

Our Energy Servers™ are among the most efficient energy generators on the planet; providing for significantly reduced electricity costs and dramatically lower greenhouse gas emissions.

By generating power on-site, where it is consumed, Bloom Energy offers increased electrical reliability and improved energy security, providing a clear path to energy independence.

Founded in 2001, Bloom Energy is headquartered in Sunnyvale, California.",Bloom Energy offers on-site power generation systems that can use a wide variety of inputs to generate electricity.,2001-01-01,0,0,,100000000
